# YTID,start_seconds,end_seconds,positive_labels
2mJbGx5D-zA, 150.0, 160.0, bark
3xCWI_22Z9A, 50.0, 60.0, bark
5PbIH_kMyis, 70.0, 80.0, bark
5tOj-p8ANmM, 0.0, 10.0, bark
64K4SlYR3BU, 70.0, 80.0, bark
6l8elU3VEBE, 330.0, 340.0, bark
8cDXwosw9nA, 30.0, 40.0, bark
9rwfy8B5EB8, 280.0, 290.0, bark
CTBFPn_S5u0, 30.0, 40.0, bark
DOtBB70Jgu4, 60.0, 70.0, bark
EakI8v4Ztt4, 30.0, 40.0, bark
FTYgwHJUkaY, 10.0, 20.0, bark
FeRaDiSPb2c, 17.0, 27.0, bark
FuTiynEpLpE, 80.0, 90.0, bark
Fw09tDLa-78, 0.0, 10.0, bark
G7vXKtePlGM, 10.0, 20.0, bark
GZUC9TF1kik, 70.0, 80.0, bark
Ga_0YqOBcew, 150.0, 160.0, bark
GamZltmhYuc, 60.0, 70.0, bark
Glc6Ekc67OE, 30.0, 40.0, bark
HpWM0fc809Q, 370.0, 380.0, bark
Ki7Xvd2_hxY, 30.0, 40.0, bark
KrtiLKd4VCI, 100.0, 110.0, bark
KsT1OSUHFUY, 30.0, 40.0, bark
Mmke73EQZ08, 20.0, 30.0, bark
NuMp4zOZEbY, 10.0, 20.0, bark
P8tx5STCuws, 120.0, 130.0, bark
P_dXuddk3fE, 90.0, 100.0, bark
P_tkRYMJK_M, 80.0, 90.0, bark
QHWuQj95SYw, 270.0, 280.0, bark
R-rS1jnK9Wc, 150.0, 160.0, bark
RB9xMnuB59A, 0.0, 10.0, bark
TDBqWGhnoLM, 10.0, 20.0, bark
VGpqLyx96Z8, 20.0, 30.0, bark
WkU6zXSeKH8, 30.0, 40.0, bark
WyqyK87HomE, 70.0, 80.0, bark
YCy_jDZJy3Y, 230.0, 240.0, bark
ZNUTbWD5ddE, 30.0, 40.0, bark
Zy2LsyinGcY, 10.0, 20.0, bark
aSNvKefxs4c, 60.0, 70.0, bark
fEO0SbAuBQs, 30.0, 40.0, bark
grWa5wDZUVo, 50.0, 60.0, bark
h9OFJ5QSpAQ, 60.0, 70.0, bark
hZ4d_dQm8jA, 0.0, 10.0, bark
iaWAlnr4dU8, 140.0, 150.0, bark
id50FKUBH08, 10.0, 20.0, bark
k-MqG-G_H0Y, 17.0, 27.0, bark
k7SgT11PwXo, 20.0, 30.0, bark
k8qNBYDgHBA, 190.0, 200.0, bark
m3kb8GFAvtI, 240.0, 250.0, bark
mtjUgt-IUV8, 60.0, 70.0, bark
n0P4klG9TFE, 10.0, 20.0, bark
nd78y2xIUuk, 30.0, 40.0, bark
o08cGjueDXM, 200.0, 210.0, bark
raww5tvi85A, 40.0, 50.0, bark
s4wQi-0I2DE, 30.0, 40.0, bark
tYA0D-S_30k, 90.0, 100.0, bark
y6tnyCHq6xE, 80.0, 90.0, bark
yBukUnXhYnc, 70.0, 80.0, bark
yPkr1XQFNJA, 29.0, 39.0, bark
1MP3sQTk8wo, 0.0, 10.0, bark
1WGfcIOLUK8, 30.0, 40.0, bark
1_Q80fDGLRM, 10.0, 20.0, bark
2QKJuc_Hscc, 50.0, 60.0, bark
2XFrBXTnNY8, 80.0, 90.0, bark
3AzacBprTzU, 60.0, 70.0, bark
3NRu3vNRFxU, 0.0, 10.0, bark
3qesirWAGt4, 20.0, 30.0, bark
8CrTpWNBiTo, 120.0, 130.0, bark
8TWtLCjUI5I, 0.0, 7.0, bark
8vasA2D2_Kc, 30.0, 40.0, bark
9RNNZ3e-9IA, 28.0, 38.0, bark
9ppa4lXXspA, 30.0, 40.0, bark
AF0CtMb81t8, 30.0, 40.0, bark
BHGB73ilrCc, 30.0, 40.0, bark
BQPk4cmN__4, 30.0, 40.0, bark
DpLi9YH5idY, 30.0, 40.0, bark
EScf6Anv-8E, 30.0, 40.0, bark
EeGWe8e_2jg, 30.0, 40.0, bark
EecU1KGJIt4, 20.0, 30.0, bark
EsJPJ4MXhs4, 30.0, 40.0, bark
Ey7CIPAeqsY, 30.0, 40.0, bark
F2FjmfvmRa0, 20.0, 30.0, bark
FIktp5ggvX4, 10.0, 20.0, bark
H7hvpCMoScQ, 30.0, 40.0, bark
JQwirnKysXI, 30.0, 40.0, bark
LulScBMT-Sg, 30.0, 40.0, bark
M4blyCNxeBQ, 30.0, 40.0, bark
MgD5JedaXGs, 20.0, 30.0, bark
NF1lwZ24RYI, 30.0, 40.0, bark
NKfyi7q0JNU, 30.0, 40.0, bark
NuD6d2B3QvA, 550.0, 560.0, bark
P15JhIEHVHg, 30.0, 40.0, bark
PX9kGT0E7B0, 30.0, 40.0, bark
QejVyYvjrrs, 10.0, 20.0, bark
UAhzckt0y3U, 30.0, 40.0, bark
UWizNEHrzCY, 17.0, 27.0, bark
WJV6Ey6hXEw, 30.0, 40.0, bark
WcPOGKf6RE8, 110.0, 120.0, bark
XO1wG3ne_Cw, 30.0, 40.0, bark
XuaJVdMCCoU, 30.0, 40.0, bark
Yx396qvohX8, 30.0, 40.0, bark
ZyiDGq0qh2s, 30.0, 40.0, bark
_fTONy_pqik, 30.0, 40.0, bark
d2yLX6TwS_c, 30.0, 40.0, bark
eMpg3l9nI2s, 30.0, 40.0, bark
eSMCZfnJ5gI, 30.0, 40.0, bark
f1Z-HuZ-_ZA, 30.0, 40.0, bark
jcoTSA5FxpE, 30.0, 40.0, bark
m98BKPAD-84, 20.0, 30.0, bark
ojLv2Ji6cJQ, 30.0, 40.0, bark
rjGjz5DolWA, 30.0, 40.0, bark
ux7HhOxMRE4, 20.0, 30.0, bark
v5IM8bUpeP8, 30.0, 40.0, bark
vyYpxGJr7zI, 30.0, 40.0, bark
x0fI4QXOz9M, 30.0, 40.0, bark
x3NgArwHRYY, 30.0, 40.0, bark
x43sC-LNCZI, 30.0, 40.0, bark
y046Ewwm1Ng, 120.0, 130.0, bark
yrpBzVXqs8g, 590.0, 600.0, bark
