# YTID,start_seconds,end_seconds,positive_labels
0F3WEUPxWCM, 0.0, 7.0, door
0UiTDRQBGcM, 15.0, 25.0, door
0e1wdxCx0ME, 30.0, 40.0, door
1hJB8Fg5UKI, 3.0, 13.0, door
2R6Z3aNoUO0, 30.0, 40.0, door
2f3KmkB2gac, 0.0, 7.0, door
3-Lvdqfmj2U, 30.0, 40.0, door
3yOOrC2yR0M, 30.0, 40.0, door
4Ql7GGjzgtU, 15.0, 25.0, door
4nMtJDjPdgw, 30.0, 40.0, door
6FEqX_uqGE4, 0.0, 7.0, door
6hEx-wgrdAw, 40.0, 50.0, door
6lgH1cWR4Wo, 21.0, 31.0, door
86FHP_bwdBM, 17.0, 27.0, door
8ArMxIiZ5eM, 30.0, 40.0, door
8pdkn_RRmtc, 28.0, 38.0, door
8sBAZm6SPQM, 30.0, 40.0, door
A6nJlrHWH7o, 30.0, 40.0, door
AEYErk0n_-o, 30.0, 40.0, door
Ab8b-FZ_9e8, 30.0, 40.0, door
AkWEga9gUIQ, 0.0, 10.0, door
BhkX37Oj6CI, 60.0, 70.0, door
Bj8ORprzR6Y, 6.0, 16.0, door
C9_BUR8rGtE, 30.0, 40.0, door
CenOf_-3ZA8, 220.0, 230.0, door
CpBPzmIPIQE, 0.0, 10.0, door
DFELzJbp_ts, 18.0, 28.0, door
DkazXQcac5g, 30.0, 40.0, door
E7hL0Pj9Q6g, 30.0, 40.0, door
F-g-akvfLKA, 30.0, 40.0, door
FoINA-FzVy0, 30.0, 40.0, door
GIw44794XJI, 29.0, 39.0, door
GMGoJdaIO1Q, 0.0, 7.0, door
H1lauHGBx7c, 21.0, 31.0, door
HBNJ-vqxvO0, 10.0, 20.0, door
HPRFphobbAA, 240.0, 250.0, door
HdGE3gaIf4w, 19.0, 29.0, door
HncIhzQm21s, 7.0, 17.0, door
IlSUPclTdmg, 210.0, 220.0, door
L6eIklz38nw, 260.0, 270.0, door
OJijinIrUgs, 0.0, 4.0, door
PSPIYsn8uTg, 40.0, 50.0, door
Pgprrf93CtE, 30.0, 40.0, door
UT05UUIBDDk, 10.0, 20.0, door
Vm4qY8TEw6I, 21.0, 31.0, door
aNKJs1Y59RU, 30.0, 40.0, door
d6BOwxt0jg0, 30.0, 40.0, door
f0SxaRjXhEA, 60.0, 70.0, door
h2EILZyumK0, 0.0, 5.0, door
kJ-Zr12uyRk, 0.0, 7.0, door
lYqEjV8AuNo, 80.0, 90.0, door
m52UhgCxmaE, 120.0, 130.0, door
mUE-IlUrLr8, 30.0, 40.0, door
nhoXQ5DDcbA, 30.0, 40.0, door
nte9V6tkTIw, 9.0, 19.0, door
otxIneJxlsM, 150.0, 160.0, door
uQnjkqPH8YU, 30.0, 40.0, door
uV1r9wUy6_M, 30.0, 40.0, door
vTn6Vc_KRaY, 30.0, 40.0, door
wEZ5_0Mm6yI, 26.0, 36.0, door
yR6ejO1NO10, 150.0, 160.0, door
-wQ8El8J_dE, 30.0, 40.0, door
-xfgovG6-KU, 30.0, 40.0, door
02-0m4RbDUI, 30.0, 40.0, door
0foC-4n-eH0, 0.0, 8.0, door
2fi0m8ei_B4, 30.0, 40.0, door
498ynMnZ6Lo, 30.0, 40.0, door
5E_8bEnP43Y, 30.0, 40.0, door
5UUgV7-Bg3c, 30.0, 40.0, door
6eSMimdQZKM, 30.0, 40.0, door
7-t5HgS_XP8, 0.0, 7.0, door
7sgNkeZCPQc, 30.0, 40.0, door
8-D_LgbKshE, 30.0, 40.0, door
9wkgTdE7nz8, 30.0, 40.0, door
AfGGAC3vPJI, 30.0, 40.0, door
Aj8BKEbijso, 10.0, 20.0, door
BSl9p4NxaRo, 5.0, 15.0, door
BpGT0DGKZns, 30.0, 40.0, door
Br1s0Ye8kKs, 30.0, 40.0, door
C1ZHFE6tU7o, 30.0, 40.0, door
C9NqENVJqgE, 70.0, 80.0, door
CAXAn0j5vdA, 30.0, 40.0, door
CD5VBM6pClk, 30.0, 40.0, door
CVQt7CVGZPM, 580.0, 590.0, door
ChX3mPUgLok, 30.0, 40.0, door
D0ZQjbwVmwI, 30.0, 40.0, door
DG5Ks3JTN5E, 30.0, 40.0, door
Drxkm1HyVxI, 21.0, 31.0, door
EMbSpcMCnpU, 40.0, 50.0, door
EaBRGh2s0rU, 30.0, 40.0, door
FD2paju93aI, 30.0, 40.0, door
Fs462T7ODUQ, 30.0, 40.0, door
GIyyb98bgno, 0.0, 7.0, door
H9ozCKhRl5A, 30.0, 40.0, door
HPOBl_BzybA, 5.0, 15.0, door
Ht8ykkUHi7w, 0.0, 8.0, door
IJNf5hJzf5M, 6.0, 16.0, door
OjG82keo43Y, 15.0, 25.0, door
PtgNHlRcC60, 30.0, 40.0, door
RJOBq50THOk, 30.0, 40.0, door
S8Wl9STNcHo, 390.0, 400.0, door
Tb2KyzcQoJE, 0.0, 8.0, door
WMbdMQ7rdFs, 30.0, 40.0, door
X3Oo3xTaL-I, 30.0, 40.0, door
ZylkgLeV-bU, 23.0, 33.0, door
_Uf47SnKl5Q, 30.0, 40.0, door
bH_4hTLhZi4, 30.0, 40.0, door
dWRS0q8d2tw, 30.0, 40.0, door
fLNiZuKgPtM, 30.0, 40.0, door
hVG4p9QJHk0, 30.0, 40.0, door
iyw-57ExLDQ, 250.0, 260.0, door
kYvoPTLXwwE, 0.0, 6.0, door
lGZCODwfn0g, 30.0, 40.0, door
mDovspDoLAE, 30.0, 40.0, door
nvd_moe8RQ0, 30.0, 40.0, door
oDpbnwNLyn8, 0.0, 4.0, door
py6G9r0fydU, 30.0, 40.0, door
wNG49_jvQto, 30.0, 40.0, door
wUc6HadpbBc, 0.0, 10.0, door
wbho-t4mujE, 40.0, 50.0, door
xlxNGgr9dq4, 30.0, 40.0, door
yM25TgQQ6Ug, 30.0, 40.0, door
ygAlt9Q7FP4, 30.0, 40.0, door
yoHl3S7uHxc, 30.0, 40.0, door
