# YTID,start_seconds,end_seconds,positive_labels
-2hQKCE-oTI, 30.0, 40.0, footsteps
-G_hnfp4a0M, 30.0, 40.0, footsteps
-IWlQN6cfe4, 30.0, 40.0, footsteps
-blH_CYo09w, 30.0, 40.0, footsteps
-xeYpMf97eU, 180.0, 190.0, footsteps
02q5C77_xeQ, 250.0, 260.0, footsteps
0EsJvIfMx0w, 30.0, 40.0, footsteps
0KXI3QmISXM, 30.0, 40.0, footsteps
0KXc1iKGh7s, 14.0, 24.0, footsteps
0StCxWx9dV8, 30.0, 40.0, footsteps
0exM1vzlKDg, 30.0, 40.0, footsteps
1SRr6IhJV_A, 100.0, 110.0, footsteps
1kfvRJEsf9g, 30.0, 40.0, footsteps
1mOxqUT_AKc, 30.0, 40.0, footsteps
2DtIskP6SN0, 30.0, 40.0, footsteps
2I74FFVzha0, 40.0, 50.0, footsteps
2QQX3Wvigg4, 30.0, 40.0, footsteps
2efDTZwa39s, 550.0, 560.0, footsteps
2mXZfaHadmU, 30.0, 40.0, footsteps
8numls0lm4Q, 410.0, 420.0, footsteps
9s1FsAilsEo, 200.0, 210.0, footsteps
B7Q9T0nzwjk, 280.0, 290.0, footsteps
D2rHn_pXeoQ, 220.0, 230.0, footsteps
Hk3f84AJen0, 150.0, 160.0, footsteps
HtXtfCR-MUg, 60.0, 70.0, footsteps
IclkG1Ux8to, 30.0, 40.0, footsteps
KOC3GuBco5E, 510.0, 520.0, footsteps
Kvji2qGegPY, 210.0, 220.0, footsteps
MzBS9C6ICnM, 0.0, 10.0, footsteps
PA6AcplJIeg, 0.0, 10.0, footsteps
PUxQ0rZKDxI, 60.0, 70.0, footsteps
P_XmQYn5Y8A, 80.0, 90.0, footsteps
PhzsA7H-myg, 100.0, 110.0, footsteps
QiYM4P-I4io, 360.0, 370.0, footsteps
RHdmPxu7ymw, 60.0, 70.0, footsteps
Rz53WSJeUfs, 30.0, 40.0, footsteps
U6yykRNfN84, 120.0, 130.0, footsteps
UZriZzZQUbs, 280.0, 290.0, footsteps
UmbVKqmvaRY, 150.0, 160.0, footsteps
UqX8QfCBtSA, 300.0, 310.0, footsteps
V851WPfpbwA, 230.0, 240.0, footsteps
VTr7QTnN6PE, 110.0, 120.0, footsteps
WEBiTsBkOQE, 330.0, 340.0, footsteps
XG2sb0DMldY, 30.0, 40.0, footsteps
_0SSMHzeztw, 30.0, 40.0, footsteps
_XBqA_26vus, 30.0, 40.0, footsteps
bpcy8yPHk6I, 200.0, 210.0, footsteps
cyxzziWTK04, 240.0, 250.0, footsteps
f9c_1p9Mte8, 140.0, 150.0, footsteps
gT504Sv_XD8, 290.0, 300.0, footsteps
gm5tHzVCBFs, 110.0, 120.0, footsteps
klY_rWHy_Bs, 0.0, 10.0, footsteps
nyf0IUg4jHE, 420.0, 430.0, footsteps
oQ2XdN7HGL4, 120.0, 130.0, footsteps
odlZvYN20tc, 220.0, 230.0, footsteps
rjhreFT66-k, 120.0, 130.0, footsteps
sggM4ikIIBM, 410.0, 420.0, footsteps
uIE6dH5SaNU, 160.0, 170.0, footsteps
wcby3DVW57s, 180.0, 190.0, footsteps
zokD5rKQkag, 80.0, 90.0, footsteps
-0CamVQdP_Y, 0.0, 6.0, footsteps
-RKQEJbjXx0, 30.0, 40.0, footsteps
1jTQsVs5iWM, 230.0, 240.0, footsteps
20iicREGgPo, 30.0, 40.0, footsteps
4E7jRLLWJ9Q, 0.0, 10.0, footsteps
8ubZbG02MFw, 60.0, 70.0, footsteps
9Bd657cv4cQ, 450.0, 460.0, footsteps
