# YTID,start_seconds,end_seconds,positive_labels
0Ei3BcBr5aE, 30.0, 40.0, gasp
0KnYLPxGYf0, 30.0, 40.0, gasp
0PpQ8rBtnVM, 30.0, 40.0, gasp
1fGqrFRMknY, 30.0, 40.0, gasp
2b0DmhWpxV4, 480.0, 490.0, gasp
4bU0HWzCXMc, 170.0, 180.0, gasp
5P_1NuHrDks, 30.0, 40.0, gasp
5jcOgP-zeTg, 0.0, 2.0, gasp
68hHsTC4lfI, 240.0, 250.0, gasp
6vSSsSpWUDI, 30.0, 40.0, gasp
7X-Vqp7T9xI, 40.0, 50.0, gasp
8jW0gmW9SAY, 30.0, 40.0, gasp
B-EO_CbvXnA, 30.0, 40.0, gasp
C27eNiXJAHg, 30.0, 40.0, gasp
EfWu3FKtv-E, 160.0, 170.0, gasp
FxEwKuTPw20, 110.0, 120.0, gasp
GTek_WTbziQ, 50.0, 60.0, gasp
HHo-v1WTqLU, 530.0, 540.0, gasp
Jbn8Lc7WN-U, 0.0, 10.0, gasp
Jhy3s2g2iDo, 0.0, 4.0, gasp
Nhu0dY2SpYU, 30.0, 40.0, gasp
Pdd2UAQu28g, 460.0, 470.0, gasp
RUhCx_C5eNw, 250.0, 260.0, gasp
T7rFcuQU_IE, 30.0, 40.0, gasp
TzbvHCxjsZI, 120.0, 130.0, gasp
V64SCgmcKNE, 30.0, 40.0, gasp
XIGtpkq5u6w, 10.0, 20.0, gasp
Yp8jp9GlsSE, 30.0, 40.0, gasp
Z2rMIZs3j8M, 0.0, 6.0, gasp
ZJHYcKzMbLA, 30.0, 40.0, gasp
_dHlpsz-hhA, 30.0, 40.0, gasp
a9QCiMuyVjQ, 14.0, 24.0, gasp
a_La3oXEbTw, 17.0, 27.0, gasp
cW8p16bZOEA, 30.0, 40.0, gasp
cwgGYQBCt5A, 180.0, 190.0, gasp
d1_l_BsGqXo, 30.0, 40.0, gasp
dm8PaPJvrJ8, 420.0, 430.0, gasp
eTsWDWDBpI8, 30.0, 40.0, gasp
fIvj2yZLcVg, 40.0, 50.0, gasp
gBK9awUNdrc, 260.0, 270.0, gasp
i6gTVOgqiwc, 0.0, 2.0, gasp
iUDDYiQdFjY, 240.0, 250.0, gasp
iga_4dsQYPE, 490.0, 500.0, gasp
kDgS1_gG0tA, 25.0, 35.0, gasp
mUvMGoyCiyI, 300.0, 310.0, gasp
nq3vCSHR5hQ, 30.0, 40.0, gasp
omLdskejMh0, 30.0, 40.0, gasp
soVRoIbewMM, 50.0, 60.0, gasp
tNaTvvyvoKA, 40.0, 50.0, gasp
tTDOCqIqlzU, 30.0, 40.0, gasp
tf6v2fJJlRs, 30.0, 40.0, gasp
twYcZkVqOpY, 0.0, 4.0, gasp
u_KvEmvnBgc, 30.0, 40.0, gasp
v0zIWnmHqH4, 0.0, 10.0, gasp
vhCypQDusYI, 0.0, 7.0, gasp
vtBA9zkp264, 90.0, 100.0, gasp
xkkbppB8VKI, 120.0, 130.0, gasp
xmmyrDlwHUo, 160.0, 170.0, gasp
yMzetNlkZ-w, 370.0, 380.0, gasp
zQ142NOrgwA, 30.0, 40.0, gasp
-8s8gqSkRzI, 30.0, 40.0, gasp
23HFFX271TU, 60.0, 70.0, gasp
3VTd87WA294, 210.0, 220.0, gasp
3g_GUoCbzTc, 30.0, 40.0, gasp
54LSA7aZTBA, 0.0, 8.0, gasp
5O87kNWkpsM, 140.0, 150.0, gasp
5g-IxiNh_k8, 3.0, 13.0, gasp
6yTj1KuoEC8, 0.0, 10.0, gasp
9PxjyMuZJs8, 430.0, 440.0, gasp
9rYm7_RV_lo, 160.0, 170.0, gasp
B7TvfMll0Ro, 30.0, 40.0, gasp
BHcN-KXwIsg, 260.0, 270.0, gasp
BndoKfn0UaQ, 30.0, 40.0, gasp
CBMxH4xtE8w, 30.0, 40.0, gasp
DTSkT1aju1Q, 230.0, 240.0, gasp
FgUBZ0Uinxg, 30.0, 40.0, gasp
