# YTID,start_seconds,end_seconds,positive_labels
-BqpAyCLh7U, 450.0, 460.0, keyboard
0B3y6sa8jgw, 540.0, 550.0, keyboard
0aCvJzMN-SE, 0.0, 10.0, keyboard
0gzJkUrw-ko, 110.0, 120.0, keyboard
1nJLw8YfC0c, 380.0, 390.0, keyboard
25TiEJB46Qg, 310.0, 320.0, keyboard
2_HZ_m5pBjI, 210.0, 220.0, keyboard
3BSNrdzl-JI, 0.0, 10.0, keyboard
3iNAmT_4pN4, 330.0, 340.0, keyboard
3v3Iw87vEQ8, 250.0, 260.0, keyboard
5Y1PHS_asxA, 530.0, 540.0, keyboard
61awfpVe49k, 460.0, 470.0, keyboard
7L2F7YC8e_A, 30.0, 40.0, keyboard
8ozUxamIQo8, 20.0, 30.0, keyboard
ACWbGbxw88g, 150.0, 160.0, keyboard
ARXXXMoqKig, 30.0, 40.0, keyboard
BkObUW1WDhE, 170.0, 180.0, keyboard
Dal2q-QwFxg, 13.0, 23.0, keyboard
GEx-kxLIoko, 270.0, 280.0, keyboard
HxY7NkkXiTU, 30.0, 40.0, keyboard
K9BXym8IG_o, 50.0, 60.0, keyboard
LUK71I-yxXI, 30.0, 40.0, keyboard
NYG_T2t542Q, 30.0, 40.0, keyboard
QHmgZW3h_Fk, 90.0, 100.0, keyboard
RH3Rq03hWa8, 50.0, 60.0, keyboard
RYK03ltDcqM, 10.0, 20.0, keyboard
RjPErwhjgjc, 30.0, 40.0, keyboard
Rns8RlXyOMg, 270.0, 280.0, keyboard
Ti4VKW1JhLc, 560.0, 570.0, keyboard
Vb_Xvjbj_TI, 60.0, 70.0, keyboard
WGSW5yAHb4Y, 60.0, 70.0, keyboard
dW-pAu5P2xY, 80.0, 90.0, keyboard
eDaAFyGOVZM, 300.0, 310.0, keyboard
eaGxEhvfoMo, 200.0, 210.0, keyboard
eibbW7B53Tc, 140.0, 150.0, keyboard
gj-1ZPsbG-c, 80.0, 90.0, keyboard
guYpxmm4vFU, 170.0, 180.0, keyboard
gymLsR9WSkk, 430.0, 440.0, keyboard
hTN99ep7VvQ, 260.0, 270.0, keyboard
hxH7Uith0tQ, 30.0, 40.0, keyboard
iJ-Yf2qIHPQ, 90.0, 100.0, keyboard
iV43xNQDOFs, 460.0, 470.0, keyboard
i_Sr1CgtO58, 100.0, 110.0, keyboard
ktDdwUEyb3A, 0.0, 10.0, keyboard
oL4bNCYL9-o, 110.0, 120.0, keyboard
p1T-iAblitw, 290.0, 300.0, keyboard
pDA7MxFtoS0, 180.0, 190.0, keyboard
pOB-9o-1d_k, 130.0, 140.0, keyboard
pp9bmoQU4pA, 550.0, 560.0, keyboard
psxv_Iwe87M, 30.0, 40.0, keyboard
ptBuOSntGho, 60.0, 70.0, keyboard
rHpsRp5eOQ8, 0.0, 10.0, keyboard
rd_UQS0w1Zc, 300.0, 310.0, keyboard
ret7zQgFwmQ, 170.0, 180.0, keyboard
uZgJ-JtqDyU, 110.0, 120.0, keyboard
xEBo-1ICleA, 220.0, 230.0, keyboard
xkkbppB8VKI, 120.0, 130.0, keyboard
ySFLstlWseI, 140.0, 150.0, keyboard
zFUhMh-IntE, 0.0, 10.0, keyboard
zzlK8KDqlr0, 370.0, 380.0, keyboard
24tWz7gmngI, 30.0, 40.0, keyboard
3oYSlw6l0XA, 380.0, 390.0, keyboard
4O-dYCrVKLY, 30.0, 40.0, keyboard
5aghVQEylEQ, 0.0, 10.0, keyboard
6-zDPB3TIpU, 0.0, 8.0, keyboard
66eFB3sy7Bw, 360.0, 370.0, keyboard
6Y3YoMGHufc, 340.0, 350.0, keyboard
