# YTID,start_seconds,end_seconds,positive_labels
-Mu1AWT_x54, 320.0, 330.0, keys
03z0rpIkm5g, 30.0, 40.0, keys
0V7XP7n7ZTQ, 160.0, 170.0, keys
2Ck7MX5LEck, 90.0, 100.0, keys
307uxeIpKMY, 140.0, 150.0, keys
3Mpq2dLfxwc, 30.0, 40.0, keys
3Nzt343kCl4, 30.0, 40.0, keys
3YzsvHJ10VY, 30.0, 40.0, keys
3y7suvz_pHw, 100.0, 110.0, keys
5Q9SNbMA11Y, 30.0, 40.0, keys
5ltzekqKM7k, 200.0, 210.0, keys
6aMqUvx818k, 0.0, 10.0, keys
7FgIsmlsXtM, 30.0, 40.0, keys
8izN-5rfb84, 90.0, 100.0, keys
8kRkchBWPWU, 19.0, 29.0, keys
AxMMB8fgXPI, 20.0, 30.0, keys
CaKQVPai0nY, 500.0, 510.0, keys
DpbEoAEI0Sk, 110.0, 120.0, keys
EIAtOZz7fN8, 30.0, 40.0, keys
Ew76TGuz3jE, 30.0, 40.0, keys
F8gNKcem_1M, 80.0, 90.0, keys
FVCRLbEup3s, 0.0, 10.0, keys
IZykuqhXVhY, 30.0, 40.0, keys
LFn5sfq3hgs, 470.0, 480.0, keys
LJ0RTahP_DU, 300.0, 310.0, keys
M0QUsga2RZk, 410.0, 420.0, keys
MkHqlntDmkI, 2.0, 12.0, keys
OWLjWSP5nXU, 0.0, 10.0, keys
OmQtuh-97Sg, 10.0, 20.0, keys
PE-U8iMqwho, 80.0, 90.0, keys
PaTDeP5AgQs, 60.0, 70.0, keys
ROzDT_2gJAU, 40.0, 50.0, keys
SAMgEbAnboM, 20.0, 30.0, keys
Tfd2Fhr1HrQ, 8.0, 18.0, keys
UT-7S6D4MxI, 150.0, 160.0, keys
VY8DVphEvu0, 0.0, 10.0, keys
XCbGJ-bIkmg, 160.0, 170.0, keys
aH02jriJhNs, 370.0, 380.0, keys
aWxPsqi_wL4, 60.0, 70.0, keys
dPoMaO6ofpk, 40.0, 50.0, keys
fOwvOtPpXB4, 460.0, 470.0, keys
fWOdqEDLbEQ, 30.0, 40.0, keys
fwedm2P1nnI, 360.0, 370.0, keys
gXFi6q8lQN4, 30.0, 40.0, keys
gXSHC3rJExc, 20.0, 30.0, keys
g_awZ5g7_k8, 90.0, 100.0, keys
kYZPbv50Ag8, 330.0, 340.0, keys
kZUzFVaeRMs, 66.0, 76.0, keys
kksZd-SAaCw, 440.0, 450.0, keys
kzVbcE4NiRo, 260.0, 270.0, keys
lhaE5Mv5dKQ, 40.0, 50.0, keys
nsssMnabc0s, 20.0, 30.0, keys
oCeT-oVsDfM, 10.0, 20.0, keys
s_nzvDUPsCU, 0.0, 10.0, keys
vTJ4hSEquZ4, 510.0, 520.0, keys
vTn6Vc_KRaY, 30.0, 40.0, keys
vsGv0Xf_hMI, 110.0, 120.0, keys
wzLojKtMRJI, 130.0, 140.0, keys
xIntadnDd0g, 280.0, 290.0, keys
yHcgLjd2n9g, 250.0, 260.0, keys
-0RWZT-miFs, 420.0, 430.0, keys
-PVEno65928, 30.0, 40.0, keys
0cZQm65sZjc, 50.0, 60.0, keys
1btWmt9io-Y, 310.0, 320.0, keys
3Qn3JZ-bulE, 30.0, 40.0, keys
4adCzzgEJ-g, 510.0, 520.0, keys
6WsUyBrPmuc, 0.0, 10.0, keys
BJTO-pARCbU, 30.0, 40.0, keys
C9NqENVJqgE, 70.0, 80.0, keys
Cis2EFd9m2U, 70.0, 80.0, keys
D0ZQjbwVmwI, 30.0, 40.0, keys
DG5Ks3JTN5E, 30.0, 40.0, keys
EMtKMP3HVs0, 280.0, 290.0, keys
FlR5CqxP9Bw, 30.0, 40.0, keys
GspfFnEnXvE, 30.0, 40.0, keys
H0hTOJUj5yw, 30.0, 40.0, keys
H8akZoFrPvo, 30.0, 40.0, keys
HHlb-h2Pc7o, 30.0, 40.0, keys
HMJe5jS0Yt4, 30.0, 40.0, keys
HhZy12f860U, 30.0, 40.0, keys
I0IK4JFdCbI, 30.0, 40.0, keys
IMmRCgWgGNk, 30.0, 40.0, keys
IUKvW8M_m08, 30.0, 40.0, keys
KHwk4_hltas, 310.0, 320.0, keys
Kwpn3utYEHM, 30.0, 40.0, keys
LYz0jnla_QI, 10.0, 20.0, keys
MdYXznF3Eac, 30.0, 40.0, keys
NH_WrDj9kAI, 90.0, 100.0, keys
NRBvMYc2RYo, 30.0, 40.0, keys
NTM-ie6SPFk, 30.0, 40.0, keys
Pubo_ZWH9Kg, 220.0, 230.0, keys
QjCTP55MfrM, 30.0, 40.0, keys
RQfN0NCB1MM, 10.0, 20.0, keys
UrKu8ra0NQA, 30.0, 40.0, keys
UtR_4B4lcsA, 220.0, 230.0, keys
V5XgEYlwJr0, 30.0, 40.0, keys
WMbdMQ7rdFs, 30.0, 40.0, keys
Wa2xihNkIPE, 30.0, 40.0, keys
YHnXVr0T8Ik, 30.0, 40.0, keys
YUnEqYYo0ck, 230.0, 240.0, keys
ZE9ygiJgWiY, 30.0, 40.0, keys
aMkIMbCCyYU, 140.0, 150.0, keys
bHFAMvkouCE, 220.0, 230.0, keys
cetpxWSFiEw, 50.0, 60.0, keys
dH-FZyKTY3s, 30.0, 40.0, keys
daHbn0PKTxA, 30.0, 40.0, keys
fvICuB-_jYw, 30.0, 40.0, keys
gRk3awO1Jq0, 100.0, 110.0, keys
grTVeRUpLiw, 30.0, 40.0, keys
iVBNoH6XgW4, 30.0, 40.0, keys
pNMBIqvbyB4, 30.0, 40.0, keys
rDju9bBFvA4, 80.0, 90.0, keys
rU0rbpRhE6Y, 30.0, 40.0, keys
swiiW5VbMXk, 50.0, 60.0, keys
tJLa4_x1jB8, 30.0, 40.0, keys
un5BYN681fg, 370.0, 380.0, keys
vgWmA2Qn8zc, 30.0, 40.0, keys
vi4bAbKOyNc, 30.0, 40.0, keys
w5yOrySHqc8, 150.0, 160.0, keys
xAkkIEMm3UQ, 80.0, 90.0, keys
