# YTID,start_seconds,end_seconds,positive_labels
-5DdYkYOjy0, 30.0, 40.0, run
-ehX__RTqF8, 30.0, 40.0, run
0-bqcP2usR4, 30.0, 40.0, run
02R_w3cr1i4, 5.0, 15.0, run
07ZERJd7-9c, 310.0, 320.0, run
0LoFUGfk6MY, 270.0, 280.0, run
0Us4I_vXrf4, 11.0, 21.0, run
0gcJJ_M3gP0, 30.0, 40.0, run
1dUdXkgyO9k, 30.0, 40.0, run
1zFcAqNQBZY, 30.0, 40.0, run
304A20BjLRo, 3.0, 13.0, run
845X9JEGzsU, 30.0, 40.0, run
8qL-HSodIVA, 30.0, 40.0, run
8rjeBrriB0c, 30.0, 40.0, run
8sXu3FjHPps, 30.0, 40.0, run
Aw0eXIShRzk, 15.0, 25.0, run
E4vMZ4hiP2c, 30.0, 40.0, run
EaucCW5AuNA, 30.0, 40.0, run
G5KNKGOFjww, 30.0, 40.0, run
HSvfQiXztLs, 30.0, 40.0, run
HiQrkS04hyA, 30.0, 40.0, run
IpJIGZoWX6A, 30.0, 40.0, run
JNH67Qy5yRI, 260.0, 270.0, run
JQz76trKbNk, 30.0, 40.0, run
KYPZOR6tdto, 290.0, 300.0, run
Kxa3vvie0TI, 30.0, 40.0, run
MyeC6C7jwEk, 30.0, 40.0, run
OOQyDTDPTaY, 30.0, 40.0, run
P7vCZ_L0UrQ, 30.0, 40.0, run
PdbSJW03FpQ, 6.0, 16.0, run
RAomqDWTVuA, 23.0, 33.0, run
RgkT2Vea3OA, 30.0, 40.0, run
SCQT93T-ckI, 30.0, 40.0, run
StGekhxY-qg, 260.0, 270.0, run
VHxCzlTUM6I, 30.0, 40.0, run
W4Ouv63YHIY, 230.0, 240.0, run
ZCsbHqKftSQ, 40.0, 50.0, run
bIRvWvHrryM, 30.0, 40.0, run
dohLSefRWxg, 9.0, 19.0, run
fT_ccNQxaPA, 30.0, 40.0, run
f_EvjzspBpk, 10.0, 20.0, run
fq6bQtbW56k, 180.0, 190.0, run
fsgqa6oQq50, 1.0, 11.0, run
g6hEiX4XTcw, 340.0, 350.0, run
hWJ8NjKw8cU, 60.0, 70.0, run
k6oW9uYtJnA, 0.0, 10.0, run
kGuKzWVGAGY, 16.0, 26.0, run
lGvrHKtXocU, 30.0, 40.0, run
m4rvKYmgMPc, 30.0, 40.0, run
pOPg5gfWwTs, 30.0, 40.0, run
pi5IzVbCJhc, 30.0, 40.0, run
tCptFGe_62s, 80.0, 90.0, run
tOnbheVe0nI, 170.0, 180.0, run
uNPUAFx8tyg, 30.0, 40.0, run
wD6XJvKARTE, 30.0, 40.0, run
wKtX-v71_DI, 130.0, 140.0, run
ynrj3K7SF4E, 11.0, 21.0, run
ypCWyvkH8QE, 30.0, 40.0, run
z6M5q5DhPQk, 30.0, 40.0, run
zxBo7nnAMVE, 30.0, 40.0, run
-ABOfhcXwt8, 17.0, 27.0, run
-QsPqh8Kyrc, 170.0, 180.0, run
-Y-J_aNii3c, 21.0, 31.0, run
11KWMKfalJo, 40.0, 50.0, run
1zIoNTdug0U, 0.0, 4.0, run
25ZuFwyx_bs, 30.0, 40.0, run
27rw1ni1k0c, 1.0, 11.0, run
2Szah76TMgo, 2.0, 12.0, run
2qO-OQtOBK0, 30.0, 40.0, run
2rdkLx56T1c, 30.0, 40.0, run
3TCAgDf9LNk, 30.0, 40.0, run
5mHtxFuikDs, 0.0, 7.0, run
60TUirEXrow, 70.0, 80.0, run
9MiKmOtYGgE, 510.0, 520.0, run
AQyjXBD7VvE, 30.0, 40.0, run
C-aMG8XXWyE, 30.0, 40.0, run
CFRfL0fmAOU, 140.0, 150.0, run
DJoFVhjQeDE, 30.0, 40.0, run
DrlmLvPFdg8, 30.0, 40.0, run
F-yyHi8weHk, 30.0, 40.0, run
GX-QhoihLeI, 30.0, 40.0, run
HZ-XFC5qzyM, 450.0, 460.0, run
KdPjKD7F1-Y, 390.0, 400.0, run
LEZfZZmiVsY, 11.0, 21.0, run
MD5zAkNrOls, 0.0, 10.0, run
MPiinqh2kGk, 30.0, 40.0, run
PXvygAB5RKg, 300.0, 310.0, run
PvBz9_Uhl7M, 27.0, 37.0, run
R3mcZxi-r9U, 30.0, 40.0, run
SObG51xihGc, 210.0, 220.0, run
TK2lPYfkG-8, 30.0, 40.0, run
Unz7tlAAfLU, 30.0, 40.0, run
WkHPQPozDRs, 150.0, 160.0, run
YMq4wE6KxmQ, 30.0, 40.0, run
ZIktpr-Ic4U, 10.0, 20.0, run
aUq3toj7jDo, 18.0, 28.0, run
ahVXPsYpUuE, 30.0, 40.0, run
bXtS2woenCY, 0.0, 10.0, run
c5Il2Mx1Wrw, 280.0, 290.0, run
dp_OiWVcq1Y, 30.0, 40.0, run
kiAMVnSBGw0, 30.0, 40.0, run
lPyBMsjVG94, 30.0, 40.0, run
lRyNx9_7NIM, 110.0, 120.0, run
leOH87itNWM, 30.0, 40.0, run
ndcMIxuMjD0, 30.0, 40.0, run
pkFxWAshbWE, 22.0, 32.0, run
qP7us0v_mAY, 40.0, 50.0, run
rzsynvpZKMg, 30.0, 40.0, run
sv35ItWLBBk, 30.0, 40.0, run
tPtXIGJ6yOY, 150.0, 160.0, run
tTNZYyuU_X4, 30.0, 40.0, run
uWLQfUlw1YE, 30.0, 40.0, run
uegvMPjZizA, 10.0, 20.0, run
v0jYFDv8kSc, 10.0, 20.0, run
vGxfIpG97dU, 30.0, 40.0, run
wTOSS0cx50s, 170.0, 180.0, run
x08pzuGeBFg, 170.0, 180.0, run
xZaR5-UdJtA, 30.0, 40.0, run
xgLvHAKJJF0, 20.0, 30.0, run
yREkNmpG9J4, 30.0, 40.0, run
