# YTID,start_seconds,end_seconds,positive_labels
0Djf1pI711g, 150.0, 160.0, sigh
1hcgKZd-sGI, 370.0, 380.0, sigh
2bJHHmKq648, 30.0, 40.0, sigh
594TT2xpOUs, 190.0, 200.0, sigh
5PU-Qwjb-ks, 130.0, 140.0, sigh
5cBeYhrxddY, 210.0, 220.0, sigh
6U-ZfyX5EwY, 450.0, 460.0, sigh
7d9mgjUlskw, 0.0, 10.0, sigh
80B6M7EuV0w, 350.0, 360.0, sigh
8MAr2YZX-80, 300.0, 310.0, sigh
8n2adsU18BU, 140.0, 150.0, sigh
9EPeINaUEwk, 360.0, 370.0, sigh
ATf3BbIGi6M, 90.0, 100.0, sigh
Afmp32GPijM, 210.0, 220.0, sigh
AmGaTVVPQL0, 220.0, 230.0, sigh
BTsga9GXN-s, 10.0, 20.0, sigh
C3Gr1FbaIQs, 50.0, 60.0, sigh
CFVEd9Wq9m0, 30.0, 40.0, sigh
ChuWtkDQIn4, 300.0, 310.0, sigh
D813H2gMS6A, 380.0, 390.0, sigh
DB_OQTdDpto, 30.0, 40.0, sigh
E38PXEciF8g, 140.0, 150.0, sigh
Gt58Twijku4, 30.0, 40.0, sigh
Hu6TNHQo260, 0.0, 10.0, sigh
IFFuyr0lM28, 210.0, 220.0, sigh
JnPckYffxIs, 210.0, 220.0, sigh
JnbfAFodjZg, 50.0, 60.0, sigh
JyOo3fgBbUo, 20.0, 30.0, sigh
L-O0eEnvQt8, 20.0, 30.0, sigh
LgIgZL0dQxU, 190.0, 200.0, sigh
NcY-bhJOpWA, 0.0, 10.0, sigh
QR-yyjBZHUk, 30.0, 40.0, sigh
Sv56HngtRSU, 370.0, 380.0, sigh
SyY1hl7cOMU, 210.0, 220.0, sigh
T2AOK88EjT0, 270.0, 280.0, sigh
TDIiZpixlJY, 410.0, 420.0, sigh
URgdMJr9mfw, 280.0, 290.0, sigh
UTIn_kK8G-M, 240.0, 250.0, sigh
V4rjBUTrB9o, 50.0, 60.0, sigh
YUbhLE1gYGo, 130.0, 140.0, sigh
_S8t21bITy4, 280.0, 290.0, sigh
__DJ_WKdTVk, 40.0, 50.0, sigh
_doPZRUv0zw, 250.0, 260.0, sigh
bZqCPZlQ82I, 270.0, 280.0, sigh
eudIU87I6Mk, 300.0, 310.0, sigh
fyqqAru0PHw, 340.0, 350.0, sigh
h2ZgzMe6pqc, 60.0, 70.0, sigh
iN-axP_oUyw, 320.0, 330.0, sigh
ja-iLfI1ryE, 280.0, 290.0, sigh
lyYppbjAROE, 520.0, 530.0, sigh
o8Q0i9VzQZA, 110.0, 120.0, sigh
pDtvtjTT-KM, 100.0, 110.0, sigh
qNMNRAbIDoU, 460.0, 470.0, sigh
rmy3Pr0Ba7Q, 30.0, 40.0, sigh
twJdQzi7x7Q, 10.0, 20.0, sigh
vWjDMosGfzE, 280.0, 290.0, sigh
yDnT8N-NwzU, 30.0, 40.0, sigh
zQa8aVS-X3c, 130.0, 140.0, sigh
zxnbSCXxwb4, 40.0, 50.0, sigh
-vBj0PZ1RF0, 9.0, 19.0, sigh
0kNCB0oGiL4, 0.0, 10.0, sigh
1NMDi2ZmUdo, 30.0, 40.0, sigh
2zKyMjBnL0Y, 60.0, 70.0, sigh
3kXukXBvDQQ, 220.0, 230.0, sigh
3ol6o8eAbrQ, 500.0, 510.0, sigh
50QEapyTPD4, 480.0, 490.0, sigh
54LSA7aZTBA, 0.0, 8.0, sigh
65JEfWpy7N0, 110.0, 120.0, sigh
6xeH0Azt9aI, 0.0, 10.0, sigh
7KlioS6HQLs, 50.0, 60.0, sigh
9KASxFLpXsI, 90.0, 100.0, sigh
9Mlw_GHFOh0, 570.0, 580.0, sigh
9lbVTD_LYrY, 80.0, 90.0, sigh
9yFxdCZ2kG0, 220.0, 230.0, sigh
AY-4KVgM6I0, 30.0, 40.0, sigh
AxAtUuHEg_c, 30.0, 40.0, sigh
BCvT_bkoAkE, 30.0, 40.0, sigh
CKkbZCb9Y18, 30.0, 40.0, sigh
Dw1TqcmgVc0, 0.0, 10.0, sigh
EhaMmYFANQQ, 30.0, 40.0, sigh
GQBIlMkZgmM, 10.0, 20.0, sigh
J-2wqwgJDeE, 250.0, 260.0, sigh
J4b0MarojNI, 30.0, 40.0, sigh
LawOj4XWvpg, 30.0, 40.0, sigh
OJv_tuqni6g, 90.0, 100.0, sigh
OnMJZFnjGQY, 10.0, 20.0, sigh
P9IXJqKMxDs, 20.0, 30.0, sigh
QtGZwaPFMlA, 20.0, 30.0, sigh
SGYGEZOHOzQ, 120.0, 130.0, sigh
Sl6TpDnyY3E, 10.0, 20.0, sigh
TR1nbhWAd3o, 280.0, 290.0, sigh
UYrFp0pyGrI, 30.0, 40.0, sigh
