# YTID,start_seconds,end_seconds,positive_labels
2QrtZ4bJ4h4, 20.0, 30.0, whistle
2VJnW7INAOI, 60.0, 70.0, whistle
2_itHv9t7Ho, 46.0, 56.0, whistle
3rGHjZMdW4Y, 20.0, 30.0, whistle
6c6uMuN42bk, 80.0, 90.0, whistle
7g2YcKAGiMM, 440.0, 450.0, whistle
7jgUDd8cDXo, 0.0, 10.0, whistle
9KOVeB4rAQY, 240.0, 250.0, whistle
9bIchzOP8PA, 20.0, 30.0, whistle
9qD1Q8z8MFQ, 30.0, 40.0, whistle
A8sju2x5nhE, 340.0, 350.0, whistle
B27Rhx0m4dw, 0.0, 10.0, whistle
BJ1WRCNpY1I, 160.0, 170.0, whistle
CUYyGU_I-S8, 150.0, 160.0, whistle
DrbKZ9VFuw4, 18.0, 28.0, whistle
E6ETVQXtoIk, 250.0, 260.0, whistle
EGyUtUo1vRk, 270.0, 280.0, whistle
Ep2hoGjt_Hk, 50.0, 60.0, whistle
FQdQhV1yjfc, 160.0, 170.0, whistle
FUXSq44CbHo, 200.0, 210.0, whistle
Gax-5J_0MLM, 17.0, 27.0, whistle
GtXqbyYA7Ro, 130.0, 140.0, whistle
IWxlWrfpk_g, 40.0, 50.0, whistle
Jui1bVoD8vo, 30.0, 40.0, whistle
LwE3Jt6Q78M, 0.0, 10.0, whistle
MM0_2pgWQqA, 30.0, 40.0, whistle
MN7D6xuIljk, 290.0, 300.0, whistle
N2SDcbOESXI, 340.0, 350.0, whistle
NETQtgbQ9-s, 0.0, 10.0, whistle
Q4OHaBzqqBY, 0.0, 10.0, whistle
SqsmuNOtmwM, 30.0, 40.0, whistle
TiFboW8mqd4, 30.0, 40.0, whistle
Uylgb--QbqA, 570.0, 580.0, whistle
VXFyLX6z0V8, 410.0, 420.0, whistle
XUaXlhcVxbs, 160.0, 170.0, whistle
XrKDtjFM9Ec, 290.0, 300.0, whistle
Y7A_l2g2QzI, 20.0, 30.0, whistle
YykyGidfpfw, 30.0, 40.0, whistle
Z46Phs4zxvA, 100.0, 110.0, whistle
_H4iHqtGlAY, 6.0, 16.0, whistle
aDmhcvIIpgY, 120.0, 130.0, whistle
aa_468eUE1o, 100.0, 110.0, whistle
aomaneVgUs0, 50.0, 60.0, whistle
bW-xjy5-a1s, 30.0, 40.0, whistle
fIPsH57dZIY, 22.0, 32.0, whistle
g6R02u-Ck_E, 20.0, 30.0, whistle
gUnmimbP_lE, 10.0, 20.0, whistle
i9wsC1-1UOA, 17.0, 27.0, whistle
iyn1OZFmvXE, 30.0, 40.0, whistle
jpXQ-dD2-bk, 30.0, 40.0, whistle
jxKqOOd2CY4, 280.0, 290.0, whistle
k3ep6MFhINI, 30.0, 40.0, whistle
lMBDn8ExqCI, 14.0, 24.0, whistle
mKtM5YPwgQk, 300.0, 310.0, whistle
o9nKX542J9c, 150.0, 160.0, whistle
ojvtp3aHKdc, 3.0, 13.0, whistle
qT_dYTeR8h8, 4.0, 14.0, whistle
rII2rBqRz9Q, 210.0, 220.0, whistle
suzQIm1cgCI, 0.0, 10.0, whistle
yNjUikl9arQ, 40.0, 50.0, whistle
zWqvlnU-Kq8, 390.0, 400.0, whistle
-Igq1W20Gi8, 0.0, 10.0, whistle
0-ljtP6WJrI, 30.0, 40.0, whistle
0g_-KI5NZ-E, 30.0, 40.0, whistle
15hFilKnrlM, 200.0, 210.0, whistle
2jpLS2TQjlI, 0.0, 10.0, whistle
2ktLtvinZBs, 280.0, 290.0, whistle
34vzrZ2SlQo, 110.0, 120.0, whistle
4nlB8qkQJ9s, 20.0, 30.0, whistle
51nfpGY_AJk, 80.0, 90.0, whistle
5ol5kAhO2BI, 0.0, 10.0, whistle
7-G0kK4FIdM, 30.0, 40.0, whistle
7uErtxgLWg4, 20.0, 30.0, whistle
81HvMVN_qD4, 170.0, 180.0, whistle
BZI6axaztN0, 570.0, 580.0, whistle
BslzZEEwFa8, 30.0, 40.0, whistle
CXfxDP-UyiE, 30.0, 40.0, whistle
EaxM8o_64fQ, 310.0, 320.0, whistle
FHcsjO-lVbw, 60.0, 70.0, whistle
FK1DCWrW02s, 30.0, 40.0, whistle
H1yDjMDES94, 0.0, 10.0, whistle
IbSYTVRyOLw, 160.0, 170.0, whistle
Jj3Ie49Mzik, 20.0, 30.0, whistle
M83C5w1YAdc, 10.0, 20.0, whistle
MZEwJXbLjIE, 260.0, 270.0, whistle
OPHQZIBdXo8, 23.0, 33.0, whistle
OT1XkHtyZbQ, 220.0, 230.0, whistle
Oew6XicL4Ks, 150.0, 160.0, whistle
PSt_gdjwmvY, 140.0, 150.0, whistle
R-d-5b54PIk, 28.0, 38.0, whistle
SNA6ceTxJTQ, 50.0, 60.0, whistle
TRk-fdiqqSA, 490.0, 500.0, whistle
UESue-_05Vs, 0.0, 10.0, whistle
UGlqxl1oiJk, 130.0, 140.0, whistle
UlWG_Wj4seU, 380.0, 390.0, whistle
VpU4twmXFiI, 10.0, 20.0, whistle
Xv0wc_vg8w8, 22.0, 32.0, whistle
